(24899545) "pos_x"
(24899546) "pos_y"
(24899547) "pos_z"
(24773988) "dir_x"
(24773989) "dir_y"
(24773990) "dir_z"
(14972175) "scale_x"
(14972176) "scale_y"
(14972177) "scale_z"
(6387142) "name"
(10209485) "dmd_name"
(19694548) "path_name"
(13773222) "create_name"
(20812759) "character_name"
(11945489) "access_name"
(22434114) "CodeName"
(24276608) "arg0"
(24276609) "arg1"
(24276610) "arg2"
(24276611) "arg3"
(24276612) "arg4"
(24276613) "arg5"
(24276614) "arg6"
(24276615) "arg7"
(24276616) "arg8"
(12634602) "pnt0_x"
(12634603) "pnt0_y"
(12634604) "pnt0_z"
(22305962) "furniture_x"
(22305963) "furniture_y"
(22305964) "furniture_z"
(2797439) "poly_material"
(7697253) "use"
(29538634) "hashigo"
(15546704) "appear_flag"
(28890473) "disappear_flag"
(26327024) "event_set_no"
(24406568) "stay"
(13210925) "room_no"
(10671773) "OpenDoorNo"
(15733732) "appear_percent"
(7960891) "type"
(24466945) "invisible"
(7490536) "attack_type"
(7305244) "room"
(7393096) "other"
(29340480) "cond_type"
(14825312) "do_type"
(18242252) "cond_string_arg0"
(15353439) "appear_time"
(10742500) "max_enemy"
(12953035) "max_enemy_once"
(20484468) "string_arg0"
(3003744) "move_type"
(1748064) "search_type"
(16402783) "appear_type"
(2458797) "place_type"
(11479973) "ignore_pointer"
(10195325) "floating_height"
(16921383) "item_table"
(1529401) "IsEscape"
(24080613) "coin"
(6910947) "bill"
(24081449) "gold"
(27693695) "SPearl"
(27366054) "mPearl"
(20025983) "LPearl"
(26240517) "sapphire"
(10725432) "emerald"
(7695144) "ruby"
(23288771) "diamond"
(557034) "cdiamond"
(2114538) "rdiamond"
(23692052) "size"
(733397) "effect"
(14928695) "camera"
(4336828) "appear_point"
(24084127) "move"
(31114816) "move_level"
(24159140) "not_transparent"
(23217465) "generate"
(27354632) "generate_num"
(8679974) "furniture_sound"
(219217) "telesa_hide"
(28716009) "telesa_appear"
(7216224) "sheet"
(9531444) "sheet_gum"
(13311859) "sheet_texture"
(31385964) "counter"
(13919579) "item_offset_y"
(28620869) "RoomNo"
(5882164) "Thunder"
(6881975) "VRbox"
(11217818) "DustLv"
(4239561) "LightColorR"
(4239550) "LightColorG"
(4239545) "LightColorB"
(10444018) "Distance"
(19574) "Lv"
(17401272) "sound_echo_parameter"
(8765380) "sound_room_size"
(9152652) "sound_room_code"
(24735213) "EventNo"
(24733924) "EventIf"
(16355505) "EventArea"
(32545300) "EventTime"
(10102394) "EventTime2"
(10102395) "EventTime3"
(10102396) "EventTime4"
(32935287) "EventLoad"
(32738565) "EventFlag"
(32935806) "EventLock"
(2001158) "PlayerStop"
(18328225) "CharacterName"
(6979288) "event_parameter"
(6317271) "sound_material"
(5335546) "sound_echo_switch"
(12101804) "cond_arg0"
(6652117) "next"
(18302907) "str_hp"
(6990740) "init_room"
(8863950) "next_room_wait"
(23772387) "accel"
(10810358) "max_speed"
(2350168) "rnd_angle"
(28983990) "attack"
(1954400) "move_time"
(20048244) "next_room"
(23504577) "available_stage"
(4498129) "OpenDoorNo"
